,Unnamed: 0,Unnamed: 0.1,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessCourses,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
197,197,197,Male,United States,31.0,Employed full-time,No,Yes,Engineer,Fine,Employed by professional services/consulting firm,IBM Watson / Waton Analytics,Deep learning,,,"Kaggle,Stack Overflow Q&A,YouTube Videos",,,< 1 year,Necessary,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Basic laptop (Macbook),,Kaggle Competitions,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",I don't write code to analyze data,Engineer,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0,,,,Financial,,,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not important,Somewhat important
198,198,198,Male,United States,26.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Hadoop/Hive/Pig,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,Government website,I collect my own data (e.g. web-scraping)","Kaggle,Personal Projects,Stack Overflow Q&A,Textbook",,,3-5 years,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,"Basic laptop (Macbook),Gaming Laptop (Laptop + CUDA capable GPU),Traditional Workstation",2 - 10 hours,Experience from work in a company related to ML,Sort of (Explain more),Master's degree,Mathematics or statistics,3 to 5 years,Business Analyst,Self-taught,60.0,0.0,0.0,40.0,0.0,0.0,Supervised Machine Learning (Tabular Data),"Logistic Regression,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)",A bachelor's degree,Other,Searching general-purpose job board,3-5,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Not important,Not important,Somewhat important,Not important,Not important,Not important
199,199,199,Male,United States,23.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,,,,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Bachelor's degree,Computer Science,I don't write code to analyze data,"Programmer,Software Developer/Software Engineer,Other","Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A bachelor's degree,,,,,,,,,,,,,,,,,,,
200,200,200,Male,United States,31.0,Employed full-time,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,TensorFlow,Deep learning,Python,,Kaggle,,"No Free Hunch Blog,O'Reilly Data Newsletter",< 1 year,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Basic laptop (Macbook),0 - 1 hour,Kaggle Competitions,No,Bachelor's degree,Other,I don't write code to analyze data,,"Online courses (coursera, udemy, edx, etc.)",,100.0,0.0,0.0,0.0,0.0,,,A bachelor's degree,Internet-based,Other,0,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important
201,201,201,Male,United States,44.0,Employed part-time,No,Yes,Computer Scientist,Perfectly,Employed by college or university,TensorFlow,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites","College/University,Kaggle,Stack Overflow Q&A,Textbook,Trade book",,,< 1 year,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Traditional Workstation,11 - 39 hours,Master's degree,No,Bachelor's degree,A humanities discipline,Less than a year,Other,University courses,80.0,0.0,0.0,20.0,0.0,0.0,,,A doctoral degree,Academic,,0,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important
202,202,202,Male,United States,37.0,Employed full-time,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,R,Neural Nets,SQL,GitHub,"Kaggle,Non-Kaggle online communities,Podcasts,Stack Overflow Q&A",,"Linear Digressions Podcast,O'Reilly Data Newsletter,The Data Skeptic Podcast",1-2 years,Necessary,Nice to have,,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,"Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Github Portfolio,No,Master's degree,Psychology,1 to 2 years,"Business Analyst,Operations Research Practitioner",Self-taught,40.0,10.0,35.0,15.0,0.0,0.0,Supervised Machine Learning (Tabular Data),Logistic Regression,A bachelor's degree,Manufacturing,"Asking friends, family members, or former colleagues for leads",3-5,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important
203,203,203,Male,United States,38.0,Employed full-time,No,Yes,Data Analyst,Fine,"Employed by professional services/consulting firm,Employed by college or university,Employed by government",MATLAB/Octave,"Ensemble Methods (e.g. boosting, bagging)",Matlab,GitHub,Textbook,,"Linear Digressions Podcast,Partially Derivative Podcast",,,,,,,,,,,,,,,Yes,Master's degree,Mathematics or statistics,I don't write code to analyze data,Statistician,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0,Time Series,Neural Networks - CNNs,A bachelor's degree,Financial,,,,,,,,,,,,,,,,,,
204,204,204,Male,United States,28.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,TensorFlow,Neural Nets,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Other","Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,"KDnuggets Blog,Siraj Raval YouTube Channel",< 1 year,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,GPU accelerated Workstation,2 - 10 hours,Github Portfolio,Sort of (Explain more),Bachelor's degree,Psychology,Less than a year,"Software Developer/Software Engineer,Other","Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),High school,Other,Other,1-2,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important,Not important,Not important
205,205,205,Male,United States,41.0,"Independent contractor, freelancer, or self-employed",No,Yes,Software Developer/Software Engineer,Perfectly,Self-employed,NoSQL,,,,Friends network,,,,,,,,,,,,,,,,,No,Professional degree,,3 to 5 years,Software Developer/Software Engineer,Self-taught,50.0,20.0,15.0,15.0,0.0,0.0,,,High school,Internet-based,,,,,,,,,,,,,,,,,,
206,206,206,Male,United States,30.0,Employed part-time,No,Yes,Data Analyst,Fine,Employed by government,SQL,"Ensemble Methods (e.g. boosting, bagging)",R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Conferences,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A",Very useful,"KDnuggets Blog,The Data Skeptic Podcast",1-2 years,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,Traditional Workstation,11 - 39 hours,Experience from work in a company related to ML,No,Master's degree,Mathematics or statistics,Less than a year,"Data Analyst,Other","Online courses (coursera, udemy, edx, etc.)",10.0,75.0,10.0,0.0,5.0,0.0,,"Decision Trees - Random Forests,Logistic Regression,Markov Logic Networks,Support Vector Machines (SVMs)",A master's degree,Academic,Tech-specific job board,6-10,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important
207,207,207,Male,United States,26.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,Amazon Machine Learning,,Python,"Google Search,I collect my own data (e.g. web-scraping)","College/University,Company internal community,Official documentation,Stack Overflow Q&A,Textbook,YouTube Videos",,Becoming a Data Scientist Podcast,< 1 year,Unnecessary,Unnecessary,Nice to have,Unnecessary,Necessary,Necessary,Necessary,Unnecessary,Unnecessary,Nice to have,Basic laptop (Macbook),2 - 10 hours,Online Courses and Certifications,No,Bachelor's degree,A social science,Less than a year,Other,Self-taught,15.0,,0.0,85.0,0.0,0.0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Ensemble Methods,Logistic Regression",High school,Mix of fields,Searching general-purpose job board,0,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not important
208,208,208,Male,United States,25.0,Employed full-time,No,Yes,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,C/C++,Deep learning,Python,University/Non-profit research group websites,"College/University,Kaggle,Personal Projects,Textbook",,"Data Machina Newsletter,KDnuggets Blog,O'Reilly Data Newsletter",1-2 years,Necessary,,,,Necessary,Necessary,Necessary,,,,Basic laptop (Macbook),2 - 10 hours,Experience from work in a company related to ML,Sort of (Explain more),Master's degree,Computer Science,1 to 2 years,"Programmer,Software Developer/Software Engineer",University courses,30.0,15.0,0.0,50.0,5.0,0.0,"Recommendation Engines,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",,Technology,Tech-specific job board,,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
209,209,209,Male,United States,17.0,Employed part-time,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,210,210,Male,United States,27.0,"Independent contractor, freelancer, or self-employed",No,Yes,Other,Fine,Employed by non-profit or NGO,Python,Time Series Analysis,R,Government website,"Blogs,Kaggle,Personal Projects,Podcasts",,"Partially Derivative Podcast,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman),The Data Skeptic Podcast",< 1 year,,,,,,,,,,,Basic laptop (Macbook),2 - 10 hours,,No,Bachelor's degree,A social science,Less than a year,,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0,Supervised Machine Learning (Tabular Data),Logistic Regression,A doctoral degree,Non-profit,"Asking friends, family members, or former colleagues for leads",1-2,,,,,,,,,,,,,,,,
211,211,211,Male,United States,22.0,Employed full-time,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,212,212,Male,United States,36.0,Employed part-time,No,Yes,Researcher,Fine,Employed by college or university,Jupyter notebooks,Deep learning,Python,University/Non-profit research group websites,"Arxiv,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,"Siraj Raval YouTube Channel,Other (Separate different answers with semicolon)",< 1 year,Necessary,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Gaming Laptop (Laptop + CUDA capable GPU),2 - 10 hours,Github Portfolio,No,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Other,"Online courses (coursera, udemy, edx, etc.)",10.0,40.0,10.0,40.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A bachelor's degree,Academic,Other,0,,,,,,,,,,,,,,,,
213,213,213,Female,United States,35.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,Python,Decision Trees,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub","Kaggle,Online courses",Very useful,,< 1 year,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,"Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Github Portfolio,Sort of (Explain more),Doctoral degree,Computer Science,3 to 5 years,"Computer Scientist,Engineer,Programmer,Researcher,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",10.0,75.0,10.0,5.0,0.0,0.0,,,High school,Technology,Meeting with recruiters who've contacted you directly,0,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important
214,214,214,Male,United States,30.0,Employed full-time,No,Yes,Scientist/Researcher,Fine,Employed by college or university,Python,Genetic & Evolutionary Algorithms,Python,GitHub,"Online courses,YouTube Videos",Very useful,,< 1 year,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,,Basic laptop (Macbook),0 - 1 hour,Online Courses and Certifications,No,Master's degree,Biology,I don't write code to analyze data,Researcher,"Online courses (coursera, udemy, edx, etc.)",0.0,70.0,0.0,0.0,0.0,30.0,,,A bachelor's degree,Academic,Meeting with recruiters who've contacted you directly,0,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important
215,215,215,Male,United States,29.0,Employed full-time,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,216,216,Male,United States,35.0,"Independent contractor, freelancer, or self-employed",No,Yes,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Python,Deep learning,Python,GitHub,"Blogs,Kaggle,Online courses,YouTube Videos",Very useful,"Becoming a Data Scientist Podcast,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman),The Data Skeptic Podcast",< 1 year,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Laptop or Workstation and local IT supported servers,0 - 1 hour,Kaggle Competitions,Sort of (Explain more),Some college/university study without earning a bachelor's degree,,Less than a year,Other,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0,Unsupervised Learning,Other (please specify; separate by semi-colon),A bachelor's degree,Retail,Career fair or on-campus recruiting event,1-2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
217,217,217,Male,United States,31.0,Employed full-time,No,Yes,Other,Poorly,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,A social science,I don't write code to analyze data,Other,Other,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,
218,218,218,Male,United States,33.0,Employed full-time,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,Python,Time Series Analysis,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),I collect my own data (e.g. web-scraping),University/Non-profit research group websites","College/University,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Other (Separate different answers with semicolon),3-5 years,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Basic laptop (Macbook),11 - 39 hours,Experience from work in a company related to ML,Yes,Master's degree,Other,6 to 10 years,"Engineer,Researcher",Self-taught,60.0,0.0,0.0,40.0,0.0,0.0,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)",A master's degree,Other,"Asking friends, family members, or former colleagues for leads",20+,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not important,Somewhat important,Very Important
219,219,219,Male,United States,25.0,Employed full-time,No,Yes,Engineer,Fine,Employed by professional services/consulting firm,Python,Deep learning,Python,Other,YouTube Videos,,Other (Separate different answers with semicolon),< 1 year,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Unnecessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Basic laptop (Macbook),0 - 1 hour,Github Portfolio,No,Master's degree,Engineering (non-computer focused),Less than a year,Engineer,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0,,,A bachelor's degree,Manufacturing,Searching general-purpose job board,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
220,220,220,Female,United States,25.0,Employed full-time,No,Yes,Engineer,Poorly,Employed by a company that performs advanced analytics,Python,Deep learning,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,University/Non-profit research group websites","Conferences,Kaggle,Online courses,Stack Overflow Q&A",Very useful,"Becoming a Data Scientist Podcast,KDnuggets Blog,The Analytics Dispatch Newsletter",3-5 years,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Basic laptop (Macbook),11 - 39 hours,Experience from work in a company related to ML,No,Master's degree,A social science,3 to 5 years,"Data Analyst,Engineer",University courses,0.0,40.0,0.0,60.0,0.0,0.0,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs",A doctoral degree,Technology,Searching general-purpose job board,6-10,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important,Somewhat important
221,221,221,Female,United States,33.0,Employed full-time,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,222,222,Male,United States,24.0,Employed full-time,No,Yes,Software Developer/Software Engineer,,Employed by government,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,223,223,Male,United States,39.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,R,,R,,Online courses,,,,,,,,,,,,,,,,,No,Master's degree,Management information systems,More than 10 years,"Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0,,,A master's degree,Internet-based,,,,,,,,,,,,,,,,,,
224,224,224,Male,United States,25.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Hadoop/Hive/Pig,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites","Arxiv,College/University,Textbook,YouTube Videos",,,< 1 year,Nice to have,Nice to have,Necessary,,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,Basic laptop (Macbook),2 - 10 hours,PhD,Sort of (Explain more),Master's degree,Engineering (non-computer focused),Less than a year,"Researcher,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",0.0,30.0,0.0,70.0,0.0,0.0,"Natural Language Processing,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Hidden Markov Models HMMs,Logistic Regression",A bachelor's degree,Internet-based,Company's Web site/job listing page,3-5,Very Important,Very Important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important
225,225,225,Male,United States,35.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Fine,Self-employed,R,Text Mining,Python,I collect my own data (e.g. web-scraping),"Company internal community,Online courses,Personal Projects,Stack Overflow Q&A",Somewhat useful,,< 1 year,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Basic laptop (Macbook),2 - 10 hours,Experience from work in a company related to ML,No,Bachelor's degree,Biology,Less than a year,Other,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A bachelor's degree,Technology,Meeting with recruiters who've contacted you directly,6-10,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not important,Very Important,Very Important,Very Important,Not important,Not important,Not important
226,226,226,Male,United States,51.0,Employed full-time,No,Yes,Programmer,Perfectly,Employed by a company that performs advanced analytics,R,Regression,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,I collect my own data (e.g. web-scraping)","Kaggle,Online courses,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",Very useful,"KDnuggets Blog,Siraj Raval YouTube Channel",1-2 years,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Traditional Workstation,11 - 39 hours,Kaggle Competitions,Sort of (Explain more),Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,0.0,0.0,20.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),"Some college/university study, no bachelor's degree",Insurance,"Asking friends, family members, or former colleagues for leads",0,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
227,227,227,Male,United States,56.0,Employed full-time,No,Yes,Business Analyst,Fine,Employed by college or university,TensorFlow,Deep learning,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","Arxiv,Blogs,Newsletters,Online courses,Personal Projects,Stack Overflow Q&A",Very useful,"Data Elixir Newsletter,O'Reilly Data Newsletter",3-5 years,Nice to have,Unnecessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,"Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...),Traditional Workstation,Workstation + Cloud service",0 - 1 hour,Online Courses and Certifications,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,Less than a year,Other,"Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),High school,Government,Tech-specific job board,0,Very Important,Very Important,Somewhat important,Somewhat important,Not important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important
228,228,228,Male,United States,57.0,"Independent contractor, freelancer, or self-employed",No,Yes,Computer Scientist,Fine,Employed by professional services/consulting firm,TensorFlow,Deep learning,Java,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),YouTube Videos,,,3-5 years,Necessary,Nice to have,Necessary,,Nice to have,Nice to have,Nice to have,,Nice to have,,Basic laptop (Macbook),11 - 39 hours,PhD,Yes,Doctoral degree,Computer Science,More than 10 years,"Business Analyst,Computer Scientist,Data Analyst,Data Scientist","Online courses (coursera, udemy, edx, etc.)",0.0,30.0,40.0,30.0,0.0,0.0,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",,Government,"Asking friends, family members, or former colleagues for leads",3-5,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important
229,229,229,Male,United States,,"Independent contractor, freelancer, or self-employed",No,Yes,Other,Poorly,Self-employed,,,,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Master's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,230,230,Male,United States,27.0,Employed full-time,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by government,TensorFlow,Deep learning,Python,GitHub,"Blogs,Conferences,Non-Kaggle online communities,Online courses,Textbook,Tutoring/mentoring",Somewhat useful,Emergent/Future Newsletter (Algorithmia),1-2 years,Nice to have,Necessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,"Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Github Portfolio,No,Bachelor's degree,Computer Science,1 to 2 years,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0,Recommendation Engines,"Decision Trees - Random Forests,Logistic Regression",A professional degree,Technology,"Asking friends, family members, or former colleagues for leads",0,,,,,,,,,,,,,,,,
231,231,231,Male,United States,29.0,Employed full-time,No,Yes,Other,Poorly,,Python,,Python,GitHub,"Blogs,Friends network,Kaggle,Newsletters,Podcasts,Textbook,YouTube Videos,Other",,"Becoming a Data Scientist Podcast,No Free Hunch Blog,Partially Derivative Podcast",< 1 year,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,No,Bachelor's degree,,Less than a year,Other,Self-taught,30.0,10.0,0.0,50.0,10.0,0.0,,,,Other,,,,,,,,,,,,,,,,,,
