GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,JobSkillImportanceOtherSelect1,JobSkillImportanceOtherSelect2,JobSkillImportanceOtherSelect3,CoursePlatformSelect,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,EmployerSize,EmployerSizeChange,EmployerMLTime,EmployerSearchMethod,UniversityImportance,JobFunctionSelect,WorkHardwareSelect,WorkDataTypeSelect,WorkProductionFrequency,WorkDatasetSize,WorkAlgorithmsSelect,WorkToolsSelect,WorkToolsFrequencyAmazonML,WorkToolsFrequencyAWS,WorkToolsFrequencyAngoss,WorkToolsFrequencyC,WorkToolsFrequencyCloudera,WorkToolsFrequencyDataRobot,WorkToolsFrequencyFlume,WorkToolsFrequencyGCP,WorkToolsFrequencyHadoop,WorkToolsFrequencyIBMCognos,WorkToolsFrequencyIBMSPSSModeler,WorkToolsFrequencyIBMSPSSStatistics,WorkToolsFrequencyIBMWatson,WorkToolsFrequencyImpala,WorkToolsFrequencyJava,WorkToolsFrequencyJulia,WorkToolsFrequencyJupyter,WorkToolsFrequencyKNIMECommercial,WorkToolsFrequencyKNIMEFree,WorkToolsFrequencyMathematica,WorkToolsFrequencyMATLAB,WorkToolsFrequencyAzure,WorkToolsFrequencyExcel,WorkToolsFrequencyMicrosoftRServer,WorkToolsFrequencyMicrosoftSQL,WorkToolsFrequencyMinitab,WorkToolsFrequencyNoSQL,WorkToolsFrequencyOracle,WorkToolsFrequencyOrange,WorkToolsFrequencyPerl,WorkToolsFrequencyPython,WorkToolsFrequencyQlik,WorkToolsFrequencyR,WorkToolsFrequencyRapidMinerCommercial,WorkToolsFrequencyRapidMinerFree,WorkToolsFrequencySalfrod,WorkToolsFrequencySAPBusinessObjects,WorkToolsFrequencySASBase,WorkToolsFrequencySASEnterprise,WorkToolsFrequencySASJMP,WorkToolsFrequencySpark,WorkToolsFrequencySQL,WorkToolsFrequencyStan,WorkToolsFrequencyStatistica,WorkToolsFrequencyTableau,WorkToolsFrequencyTensorFlow,WorkToolsFrequencyTIBCO,WorkToolsFrequencyUnix,WorkToolsFrequencySelect1,WorkToolsFrequencySelect2,WorkFrequencySelect3,WorkMethodsSelect,WorkMethodsFrequencyA/B,WorkMethodsFrequencyAssociationRules,WorkMethodsFrequencyBayesian,WorkMethodsFrequencyCNNs,WorkMethodsFrequencyCollaborativeFiltering,WorkMethodsFrequencyCross-Validation,WorkMethodsFrequencyDataVisualization,WorkMethodsFrequencyDecisionTrees,WorkMethodsFrequencyEnsembleMethods,WorkMethodsFrequencyEvolutionaryApproaches,WorkMethodsFrequencyGANs,WorkMethodsFrequencyGBM,WorkMethodsFrequencyHMMs,WorkMethodsFrequencyKNN,WorkMethodsFrequencyLiftAnalysis,WorkMethodsFrequencyLogisticRegression,WorkMethodsFrequencyMLN,WorkMethodsFrequencyNaiveBayes,WorkMethodsFrequencyNLP,WorkMethodsFrequencyNeuralNetworks,WorkMethodsFrequencyPCA,WorkMethodsFrequencyPrescriptiveModeling,WorkMethodsFrequencyRandomForests,WorkMethodsFrequencyRecommenderSystems,WorkMethodsFrequencyRNNs,WorkMethodsFrequencySegmentation,WorkMethodsFrequencySimulation,WorkMethodsFrequencySVMs,WorkMethodsFrequencyTextAnalysis,WorkMethodsFrequencyTimeSeriesAnalysis,WorkMethodsFrequencySelect1,WorkMethodsFrequencySelect2,WorkMethodsFrequencySelect3,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,AlgorithmUnderstandingLevel,WorkChallengesSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkDataVisualizations,WorkInternalVsExternalTools,WorkMLTeamSeatSelect,WorkDatasets,WorkDatasetsChallenge,WorkDataStorage,WorkDataSharing,WorkDataSourcing,WorkCodeSharing,RemoteWork,CompensationAmount,CompensationCurrency,SalaryChange,JobSatisfaction,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
Male,United States,59.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,Python,Neural Nets,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Kaggle,Personal Projects",,,,,,,Very useful,,,,,Somewhat useful,,,,,,,Other (Separate different answers with semicolon),1-2 years,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,,Traditional Workstation,2 - 10 hours,Kaggle Competitions,No,Bachelor's degree,Computer Science,1 to 2 years,Other,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0,Supervised Machine Learning (Tabular Data),Neural Networks - CNNs,A bachelor's degree,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech-specific job board,0,Not important,Not important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Very Important,Somewhat important,Not important,Somewhat important,Not important
Male,United States,25.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Poorly,Employed by professional services/consulting firm,R,Deep learning,Python,"GitHub,Google Search","Blogs,Podcasts,YouTube Videos",,Somewhat useful,,,,,,,,,,,Somewhat useful,,,,,Very useful,"Becoming a Data Scientist Podcast,O'Reilly Data Newsletter,The Data Skeptic Podcast",< 1 year,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,,,,,Basic laptop (Macbook),0 - 1 hour,Github Portfolio,No,Bachelor's degree,Biology,Less than a year,I haven't started working yet,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0,Unsupervised Learning,Decision Trees - Gradient Boosted Machines,High school,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",0,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important,Very Important,Very Important,Very Important,Not important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important
Male,United States,70.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",I don't write code to analyze data,"Programmer,Software Developer/Software Engineer,Other","Online courses (coursera, udemy, edx, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,United States,34.0,Employed part-time,,,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,TensorFlow,Neural Nets,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,Very useful,,Very useful,Somewhat useful,Very useful,Somewhat useful,,,,,Somewhat useful,Somewhat useful,"FastML Blog,No Free Hunch Blog,Other (Separate different answers with semicolon)",1-2 years,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Nice to have,Unnecessary,Necessary,,,,"Coursera,DataCamp,Udacity","Basic laptop (Macbook),Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Experience from work in a company related to ML,Sort of (Explain more),Bachelor's degree,Other,1 to 2 years,Other,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,0.0,0.0,10.0,20.0,"Natural Language Processing,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",A doctoral degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",3-5,Somewhat important,Not important,Somewhat important,Not important,Not important,Not important,Somewhat important,Not important,Very Important,Not important,Not important,Somewhat important,Somewhat important,Not important,Not important,Not important
Male,United States,38.0,Employed full-time,,,No,Yes,Computer Scientist,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Deep learning,Python,Google Search,"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Trade book,YouTube Videos",,Very useful,,,,,Very useful,,,Very useful,Very useful,Very useful,Very useful,Very useful,,Somewhat useful,,Very useful,Becoming a Data Scientist Podcast,1-2 years,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,,,,edX,GPU accelerated Workstation,2 - 10 hours,Experience from work in a company related to ML,No,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,"Computer Scientist,Programmer",Self-taught,90.0,5.0,2.0,3.0,0.0,0.0,,,A bachelor's degree,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Very Important,Somewhat important,Somewhat important
Male,United States,42.0,Employed full-time,,,No,Yes,Data Scientist,Fine,Employed by professional services/consulting firm,Amazon Web services,Monte Carlo Methods,Python,GitHub,Online courses,,,,,,,,,,,Very useful,,,,,,,,"Data Stories Podcast,Other (Separate different answers with semicolon)",< 1 year,,,Necessary,,,Necessary,Necessary,Necessary,Necessary,Necessary,,,,Other,,2 - 10 hours,Kaggle Competitions,,Professional degree,,Less than a year,Business Analyst,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0,Unsupervised Learning,Other (please specify; separate by semi-colon),High school,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech-specific job board,1-2,Very Important,Very Important,Not important,Very Important,Very Important,Somewhat important,Somewhat important,Not important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important
Female,United States,23.0,Employed full-time,,,No,Yes,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,SQL,Survival Analysis,Java,Google Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,,I don't write code to analyze data,I haven't started working yet,University courses,50.0,10.0,5.0,35.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A bachelor's degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,United States,48.0,Employed full-time,,,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,Python,Text Mining,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"College/University,Kaggle,Stack Overflow Q&A",,,Very useful,,,,Very useful,,,,,,,Very useful,,,,,,3-5 years,Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,,,,,Basic laptop (Macbook),0 - 1 hour,Experience from work in a company related to ML,Sort of (Explain more),Master's degree,A social science,3 to 5 years,Other,University courses,25.0,0.0,10.0,50.0,15.0,0.0,Time Series,"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",A professional degree,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",1-2,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important
Male,United States,34.0,Employed full-time,,,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,Python,Time Series Analysis,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,Government website,I collect my own data (e.g. web-scraping)","Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,Very useful,Very useful,Very useful,Somewhat useful,,Somewhat useful,,,Somewhat useful,"Data Stories Podcast,FlowingData Blog,Linear Digressions Podcast",3-5 years,,,,,,,,,,,,,,"Coursera,DataCamp,edX","Basic laptop (Macbook),GPU accelerated Workstation",2 - 10 hours,Github Portfolio,No,Bachelor's degree,,3 to 5 years,Other,"Online courses (coursera, udemy, edx, etc.)",15.0,85.0,0.0,0.0,0.0,0.0,"Natural Language Processing,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",A master's degree,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-5,,,,,,,,,,,,,,,,
Male,United States,42.0,Employed full-time,,,No,Yes,Other,Perfectly,Employed by a company that doesn't perform advanced analytics,Python,Cluster Analysis,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Government website","College/University,Kaggle,Online courses,Personal Projects,Textbook,Trade book",,,Somewhat useful,,,,Very useful,,,,Somewhat useful,Somewhat useful,,,Very useful,Very useful,,,,< 1 year,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Unnecessary,Necessary,Necessary,Necessary,Necessary,,,,Coursera,Basic laptop (Macbook),0 - 1 hour,Kaggle Competitions,No,Master's degree,Other,I don't write code to analyze data,"Software Developer/Software Engineer,Other",University courses,10.0,10.0,0.0,70.0,10.0,0.0,,Bayesian Techniques,"Some college/university study, no bachelor's degree",Hospitality/Entertainment/Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,0,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important
Male,United States,53.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,R,Deep learning,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Newsletters,Online courses,YouTube Videos",,Very useful,,,,,Very useful,Very useful,,,Very useful,,,,,,,Very useful,"DataTau News Aggregator,R Bloggers Blog Aggregator",3-5 years,,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,,,,"Coursera,DataCamp,edX,Udacity","Gaming Laptop (Laptop + CUDA capable GPU),Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Online Courses and Certifications,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,"DBA/Database Engineer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",40.0,40.0,0.0,0.0,20.0,0.0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression",A bachelor's degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Male,United States,38.0,Employed full-time,,,No,Yes,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Jupyter notebooks,Deep learning,Python,Google Search,"Official documentation,Online courses,Stack Overflow Q&A",,,,,,,,,,Very useful,Very useful,,,Very useful,,,,,O'Reilly Data Newsletter,1-2 years,Nice to have,Unnecessary,Necessary,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,,,,Coursera,"Gaming Laptop (Laptop + CUDA capable GPU),Traditional Workstation",2 - 10 hours,Online Courses and Certifications,Yes,Doctoral degree,Biology,1 to 2 years,Other,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",High school,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,0,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important
Male,United States,54.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,TensorFlow,Deep learning,Python,"Government website,I collect my own data (e.g. web-scraping),University/Non-profit research group websites","Arxiv,Blogs,Official documentation,Online courses,Personal Projects,Textbook",Very useful,Somewhat useful,,,,,,,,Somewhat useful,Very useful,Very useful,,,Somewhat useful,,,,,3-5 years,Necessary,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,,,,"Coursera,Udacity","Basic laptop (Macbook),Workstation + Cloud service",2 - 10 hours,Github Portfolio,Sort of (Explain more),Bachelor's degree,Electrical Engineering,3 to 5 years,"Computer Scientist,Engineer,Programmer,Software Developer/Software Engineer,Other","Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0,"Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Evolutionary Approaches,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs","Some college/university study, no bachelor's degree",Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech-specific job board,0,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not important,Somewhat important,Very Important,Not important,Not important
Male,United States,23.0,Employed full-time,,,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,R,Text Mining,R,Google Search,"College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Trade book",,,Somewhat useful,,,,Somewhat useful,,,,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,Somewhat useful,,,,3-5 years,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,,"Coursera,DataCamp,edX,Udacity","Basic laptop (Macbook),Traditional Workstation",0 - 1 hour,Online Courses and Certifications,No,Master's degree,,1 to 2 years,,University courses,10.0,15.0,0.0,75.0,0.0,0.0,,"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests",A bachelor's degree,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech-specific job board,1-2,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Female,United States,27.0,Employed part-time,,,No,Yes,Engineer,Fine,Employed by college or university,TensorFlow,Other,Python,"Government website,University/Non-profit research group websites","College/University,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,Very useful,Very useful,,,Very useful,,,,Somewhat useful,Becoming a Data Scientist Podcast,< 1 year,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,,"Coursera,DataCamp,Udacity,Other","Laptop + Cloud service (AWS, Azure, GCE ...),Traditional Workstation",2 - 10 hours,Online Courses and Certifications,Sort of (Explain more),Master's degree,Engineering (non-computer focused),Less than a year,"DBA/Database Engineer,Engineer,Researcher",University courses,30.0,30.0,3.0,30.0,7.0,0.0,"Outlier detection (e.g. Fraud detection),Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)","Some college/university study, no bachelor's degree",Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tech-specific job board,0,,,,,,,,,,,,,,,,
Male,United States,27.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,R,Genetic & Evolutionary Algorithms,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Blogs,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A",,Somewhat useful,,,,,Very useful,Somewhat useful,,Not Useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,,,,Other (Separate different answers with semicolon),< 1 year,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,,,,Coursera,Workstation + Cloud service,0 - 1 hour,,No,Bachelor's degree,Other,Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",20.0,70.0,0.0,10.0,0.0,0.0,,,A bachelor's degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",0,Somewhat important,Very Important,Very Important,Somewhat important,Not important,Somewhat important,Somewhat important,Not important,Not important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Not important
Male,United States,46.0,Employed full-time,,,No,Yes,Programmer,Fine,Employed by professional services/consulting firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Master's degree,,1 to 2 years,"Programmer,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
